date,hash,allocation,amount,description
2024-11-23,E19C5F10B657C7FA993E566E59026D7A080ECDD66357DAFA1CBF8C59E982B2E5,faucet,-15000000.0,faucet
2024-11-23,0C88C05FEE9638D3ED196ABA1425A35C630CF2B7847B2AF924ABCB300D94F7AF,community-rewards,-15000000.0,reward
