date,hash,allocation,amount,description
2025-07-25,B368425A8A4491BD89A5D5F1A9D6806B7A5D80F012E2FC17A57B360786591A80,community-rewards,-50000000.9,Reward Bot
2025-07-25,8E2620585B1F505DE262410E32AAEE71BED062C7EA949B7382D1F6FB47CA87C4,dev-fund,-1500000.0,OTC market management May
2025-07-25,32C23CAC1F491D95B72BD88F8069E2C8974D99BBE9849EEA319BFA1D75985746,dev-fund,-1500000.0,OTC market management June
2025-07-25,68E631FF2B45A0EEAA10D773B0D2E1B74A206862C91704A720805590797BFE81,dev-fund,-1500000.0,OTC market management July
