date,hash,destination,amount,description
2025-03-30,0AD01092BEB0B7906C1F60BE34FBAB28493804843B546110B5A811252D5FDE79,atto://abgz7fjquhyi3xflfxvwmyc4w5pplgp3crjeupkyegewmzc6vah5eogxewdc2,-1000000.0,miner
2025-03-30,29E17D74560FFED2E6421A61D80FE93DAEF5C1DCADBD114ADE1784086BF927FC,atto://abgz7fjquhyi3xflfxvwmyc4w5pplgp3crjeupkyegewmzc6vah5eogxewdc2,-100000000.0,miner
